Training,Testing
0.11302,0.14225
0.11305,0.14252
0.11309,0.14253
0.11317,0.1423
0.11302,0.14241
0.11318,0.14261
0.11306,0.14269
0.11305,0.14235
0.11293,0.14219
0.11309,0.14231
0.11301,0.14264
0.11326,0.14235
0.11304,0.14276
0.11311,0.14244
0.11303,0.14246
0.11324,0.1424
0.11307,0.14244
0.11309,0.1428
0.11318,0.14244
0.11306,0.1424
0.11306,0.14234
0.11305,0.14219
0.11319,0.14228
0.11312,0.14226
0.11329,0.14244
0.11305,0.14235
0.11322,0.14281
0.11294,0.14304
0.11307,0.14263
0.11321,0.14257
0.11323,0.1424
0.11304,0.14241
0.11319,0.14267
0.11322,0.14263
0.11307,0.14233
0.1133,0.14255
0.11314,0.14264
0.11309,0.14252
0.11307,0.14243
0.11305,0.14276
0.113,0.1421
0.11309,0.14344
0.11299,0.14239
0.11322,0.1423
0.11328,0.14265
0.1132,0.14262
0.11332,0.14278
0.11336,0.1425
0.11314,0.14253
0.11311,0.14195
0.11321,0.14229
0.11319,0.14293
0.11306,0.14248
0.11314,0.14213
0.11317,0.14239
0.11312,0.14238
0.11297,0.14228
0.11297,0.14237
0.11309,0.14235
0.11324,0.14232
0.11305,0.14237
0.11317,0.14304
0.11306,0.14234
0.11302,0.14263
0.11314,0.1426
0.11313,0.1423
0.11325,0.14252
0.11318,0.14229
0.11314,0.14272
0.11315,0.14213
0.11312,0.14252
0.11306,0.14236
0.11332,0.14278
0.11317,0.14238
0.11324,0.14257
0.1131,0.14254
0.11308,0.14275
0.11321,0.14286
0.11316,0.14241
0.11322,0.14217
0.11311,0.14255
0.11314,0.14248
0.11308,0.14269
0.11316,0.14232
0.11301,0.14248
0.11303,0.1424
0.11316,0.14245
0.11309,0.14266
0.11317,0.14227
0.11299,0.14231
0.11326,0.14262
0.11305,0.14215
0.113,0.14272
0.11305,0.14216
0.11309,0.14235
0.1131,0.14266
0.11312,0.14245
0.11326,0.14255
0.11311,0.14229
0.11295,0.14256
0.1133,0.14247
0.11326,0.14252
0.11327,0.14296
0.1132,0.14239
0.11323,0.14259
0.11306,0.14287
0.11284,0.1423
0.1131,0.14225
0.11316,0.14272
0.11317,0.14242
0.11318,0.14242
